seeker,hider,result,avg_steps_5_matches
12,4,seeker_wins 1/1,22.00
12,5,seeker_wins 1/1,24.00
12,6,seeker_wins 1/1,20.00
12,7,seeker_wins 1/1,29.00
12,8,hider_wins 1/1,200.00
12,9,seeker_wins 1/1,8.00
12,10,seeker_wins 1/1,14.00
12,11,hider_wins 1/1,200.00
12,13,hider_wins 1/1,200.00
12,14,seeker_wins 1/1,11.00
12,15,seeker_wins 1/1,20.00
12,16,seeker_wins 1/1,22.00
13,0,seeker_wins 1/1,28.00
13,2,seeker_wins 1/1,9.00
13,3,seeker_wins 1/1,20.00
13,4,seeker_wins 1/1,38.00
13,5,seeker_wins 1/1,41.00
13,6,seeker_wins 1/1,21.00
13,7,seeker_wins 1/1,21.00
13,8,seeker_wins 1/1,10.00
13,9,seeker_wins 1/1,64.00
13,10,seeker_wins 1/1,13.00
13,11,seeker_wins 1/1,13.00
13,12,seeker_wins 1/1,81.00
13,14,seeker_wins 1/1,35.00
13,15,seeker_wins 1/1,19.00
13,16,seeker_wins 1/1,30.00
14,0,seeker_wins 1/1,17.00
14,2,seeker_wins 1/1,24.00
14,3,seeker_wins 1/1,19.00
14,4,seeker_wins 1/1,76.00
14,5,seeker_wins 1/1,30.00
14,6,seeker_wins 1/1,81.00
14,7,seeker_wins 1/1,20.00
14,8,seeker_wins 1/1,29.00
14,9,seeker_wins 1/1,7.00
14,10,seeker_wins 1/1,80.00
14,11,seeker_wins 1/1,16.00
14,12,seeker_wins 1/1,71.00
14,13,seeker_wins 1/1,12.00
14,15,seeker_wins 1/1,29.00
14,16,seeker_wins 1/1,80.00
15,0,seeker_wins 1/1,35.00
15,2,seeker_wins 1/1,18.00
15,3,seeker_wins 1/1,34.00
15,4,seeker_wins 1/1,126.00
15,5,seeker_wins 1/1,44.00
15,6,seeker_wins 1/1,54.00
15,7,seeker_wins 1/1,16.00
15,8,seeker_wins 1/1,12.00
15,9,seeker_wins 1/1,70.00
15,10,seeker_wins 1/1,19.00
15,11,seeker_wins 1/1,35.00
15,12,seeker_wins 1/1,24.00
15,13,seeker_wins 1/1,15.00
15,14,seeker_wins 1/1,14.00
15,16,seeker_wins 1/1,42.00
16,0,seeker_wins 1/1,15.00
16,2,seeker_wins 1/1,65.00
16,3,seeker_wins 1/1,10.00
16,4,seeker_wins 1/1,57.00
16,5,seeker_wins 1/1,19.00
16,6,seeker_wins 1/1,15.00
16,7,seeker_wins 1/1,17.00
16,8,seeker_wins 1/1,11.00
16,9,seeker_wins 1/1,12.00
16,10,seeker_wins 1/1,16.00
16,11,seeker_wins 1/1,16.00
16,12,seeker_wins 1/1,50.00
16,13,seeker_wins 1/1,11.00
16,14,seeker_wins 1/1,22.00
16,15,seeker_wins 1/1,17.00

SEEKER,avg_steps,worst_matchup,worst_avg_steps
0,45.40,0 vs 2,168.00
2,98.80,2 vs 12,200.00
3,1.00,3 vs 0,1.00
4,15.40,4 vs 5,36.00
5,85.87,5 vs 4,200.00
6,33.73,6 vs 16,58.00
7,34.53,7 vs 16,71.00
8,38.60,8 vs 5,87.00
9,86.67,9 vs 0,200.00
10,72.40,10 vs 4,200.00
11,44.60,11 vs 9,200.00
12,91.33,12 vs 0,200.00
13,29.53,13 vs 12,81.00
14,39.40,14 vs 6,81.00
15,37.20,15 vs 4,126.00
16,23.53,16 vs 2,65.00

HIDER,avg_steps,worst_matchup,best_avg_steps
0,73.67,9 vs 0,200.00
2,50.87,12 vs 2,200.00
3,34.33,12 vs 3,200.00
4,70.27,5 vs 4,200.00
5,48.87,9 vs 5,200.00
6,31.87,14 vs 6,81.00
7,29.13,2 vs 7,110.00
8,43.40,12 vs 8,200.00
9,41.40,11 vs 9,200.00
10,31.40,5 vs 10,107.00
11,63.60,9 vs 11,200.00
12,73.27,2 vs 12,200.00
13,37.53,12 vs 13,200.00
14,24.87,10 vs 14,88.00
15,36.47,2 vs 15,106.00
16,87.07,5 vs 16,200.00
